/home/aditya_sharma/.local/lib/python3.9/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
(epoch: 1, iters: 800, time: 0.042, data: 0.002) G_GAN: 0.787 G_L1: 27.065 D_real: 0.841 D_fake: 0.548 
(epoch: 1, iters: 900, time: 0.042, data: 0.001) G_GAN: 0.669 G_L1: 24.407 D_real: 0.729 D_fake: 0.586 
(epoch: 1, iters: 1000, time: 0.046, data: 0.001) G_GAN: 1.126 G_L1: 42.494 D_real: 0.415 D_fake: 0.480 
(epoch: 1, iters: 1100, time: 0.045, data: 0.001) G_GAN: 1.009 G_L1: 26.796 D_real: 0.343 D_fake: 0.844 
(epoch: 1, iters: 1200, time: 0.043, data: 0.002) G_GAN: 0.841 G_L1: 22.455 D_real: 0.487 D_fake: 0.479 
(epoch: 1, iters: 1300, time: 0.039, data: 0.001) G_GAN: 1.122 G_L1: 26.638 D_real: 0.212 D_fake: 0.601 
(epoch: 1, iters: 1400, time: 0.040, data: 0.001) G_GAN: 0.938 G_L1: 26.822 D_real: 0.597 D_fake: 0.533 
(epoch: 1, iters: 1500, time: 0.041, data: 0.002) G_GAN: 0.922 G_L1: 26.154 D_real: 0.442 D_fake: 0.651 
(epoch: 1, iters: 1600, time: 0.039, data: 0.001) G_GAN: 0.725 G_L1: 25.827 D_real: 0.537 D_fake: 0.698 
(epoch: 1, iters: 1700, time: 0.042, data: 0.001) G_GAN: 1.594 G_L1: 21.986 D_real: 0.757 D_fake: 0.356 
(epoch: 1, iters: 1800, time: 0.042, data: 0.001) G_GAN: 1.689 G_L1: 41.040 D_real: 0.245 D_fake: 0.206 
(epoch: 1, iters: 1900, time: 0.043, data: 0.001) G_GAN: 2.369 G_L1: 40.458 D_real: 0.070 D_fake: 0.157 
(epoch: 1, iters: 2000, time: 0.082, data: 0.001) G_GAN: 1.149 G_L1: 30.394 D_real: 0.402 D_fake: 0.364 
(epoch: 1, iters: 2100, time: 0.047, data: 0.001) G_GAN: 1.389 G_L1: 41.117 D_real: 0.444 D_fake: 0.414 
(epoch: 1, iters: 2200, time: 0.046, data: 0.001) G_GAN: 1.677 G_L1: 24.951 D_real: 1.093 D_fake: 0.132 
(epoch: 1, iters: 2300, time: 0.046, data: 0.001) G_GAN: 1.152 G_L1: 44.611 D_real: 0.029 D_fake: 0.744 
(epoch: 1, iters: 2400, time: 0.041, data: 0.001) G_GAN: 1.515 G_L1: 28.840 D_real: 0.240 D_fake: 0.302 
End of epoch 1 / 200 	 Time Taken: 83 sec
learning rate 0.0002000 -> 0.0002000
(epoch: 2, iters: 100, time: 0.046, data: 0.135) G_GAN: 1.778 G_L1: 26.836 D_real: 0.296 D_fake: 0.363 
(epoch: 2, iters: 200, time: 0.042, data: 0.001) G_GAN: 1.134 G_L1: 45.222 D_real: 0.998 D_fake: 0.356 
(epoch: 2, iters: 300, time: 0.041, data: 0.001) G_GAN: 1.242 G_L1: 29.460 D_real: 0.047 D_fake: 0.512 
(epoch: 2, iters: 400, time: 0.076, data: 0.001) G_GAN: 0.992 G_L1: 21.602 D_real: 0.880 D_fake: 0.358 
(epoch: 2, iters: 500, time: 0.044, data: 0.001) G_GAN: 1.139 G_L1: 37.787 D_real: 0.247 D_fake: 0.546 
(epoch: 2, iters: 600, time: 0.043, data: 0.001) G_GAN: 0.979 G_L1: 38.211 D_real: 1.139 D_fake: 0.521 
(epoch: 2, iters: 700, time: 0.041, data: 0.001) G_GAN: 1.169 G_L1: 37.483 D_real: 0.565 D_fake: 0.484 
(epoch: 2, iters: 800, time: 0.040, data: 0.001) G_GAN: 1.889 G_L1: 35.923 D_real: 0.115 D_fake: 0.213 
(epoch: 2, iters: 900, time: 0.041, data: 0.001) G_GAN: 1.304 G_L1: 34.948 D_real: 0.840 D_fake: 0.314 
(epoch: 2, iters: 1000, time: 0.050, data: 0.001) G_GAN: 1.278 G_L1: 31.758 D_real: 0.289 D_fake: 0.420 
(epoch: 2, iters: 1100, time: 0.043, data: 0.002) G_GAN: 1.048 G_L1: 28.512 D_real: 0.188 D_fake: 0.854 
(epoch: 2, iters: 1200, time: 0.045, data: 0.001) G_GAN: 1.935 G_L1: 25.576 D_real: 0.887 D_fake: 0.140 
(epoch: 2, iters: 1300, time: 0.039, data: 0.001) G_GAN: 0.828 G_L1: 33.850 D_real: 1.155 D_fake: 0.382 
(epoch: 2, iters: 1400, time: 0.044, data: 0.001) G_GAN: 1.218 G_L1: 51.457 D_real: 0.004 D_fake: 0.618 
(epoch: 2, iters: 1500, time: 0.043, data: 0.001) G_GAN: 0.937 G_L1: 41.071 D_real: 0.573 D_fake: 0.719 
(epoch: 2, iters: 1600, time: 0.079, data: 0.001) G_GAN: 0.810 G_L1: 30.785 D_real: 0.311 D_fake: 0.681 
(epoch: 2, iters: 1700, time: 0.044, data: 0.001) G_GAN: 1.353 G_L1: 46.478 D_real: 0.066 D_fake: 0.729 
(epoch: 2, iters: 1800, time: 0.045, data: 0.001) G_GAN: 1.151 G_L1: 18.241 D_real: 0.710 D_fake: 0.593 
(epoch: 2, iters: 1900, time: 0.043, data: 0.001) G_GAN: 1.072 G_L1: 31.944 D_real: 0.150 D_fake: 0.684 
(epoch: 2, iters: 2000, time: 0.044, data: 0.001) G_GAN: 0.840 G_L1: 32.102 D_real: 0.434 D_fake: 0.682 
(epoch: 2, iters: 2100, time: 0.046, data: 0.001) G_GAN: 1.234 G_L1: 20.701 D_real: 0.345 D_fake: 0.660 
(epoch: 2, iters: 2200, time: 0.042, data: 0.001) G_GAN: 1.177 G_L1: 26.287 D_real: 0.104 D_fake: 0.638 
(epoch: 2, iters: 2300, time: 0.043, data: 0.001) G_GAN: 1.229 G_L1: 20.302 D_real: 0.072 D_fake: 0.500 
(epoch: 2, iters: 2400, time: 0.042, data: 0.001) G_GAN: 1.121 G_L1: 33.165 D_real: 0.516 D_fake: 0.418 
End of epoch 2 / 200 	 Time Taken: 81 sec
learning rate 0.0002000 -> 0.0002000
(epoch: 3, iters: 100, time: 0.045, data: 0.136) G_GAN: 1.574 G_L1: 23.757 D_real: 0.823 D_fake: 0.224 
(epoch: 3, iters: 200, time: 0.044, data: 0.001) G_GAN: 0.678 G_L1: 36.615 D_real: 0.247 D_fake: 0.882 
saving the latest model (epoch 3, total_iters 5000)
(epoch: 3, iters: 300, time: 0.042, data: 0.001) G_GAN: 1.007 G_L1: 29.457 D_real: 0.324 D_fake: 0.384 
(epoch: 3, iters: 400, time: 0.078, data: 0.001) G_GAN: 0.932 G_L1: 22.596 D_real: 1.391 D_fake: 0.503 
(epoch: 3, iters: 500, time: 0.042, data: 0.001) G_GAN: 1.084 G_L1: 22.426 D_real: 1.215 D_fake: 0.106 
(epoch: 3, iters: 600, time: 0.042, data: 0.001) G_GAN: 0.731 G_L1: 41.171 D_real: 1.033 D_fake: 0.547 
(epoch: 3, iters: 700, time: 0.043, data: 0.001) G_GAN: 1.074 G_L1: 21.106 D_real: 1.129 D_fake: 0.304 
(epoch: 3, iters: 800, time: 0.044, data: 0.002) G_GAN: 0.702 G_L1: 23.043 D_real: 1.275 D_fake: 0.607 
(epoch: 3, iters: 900, time: 0.043, data: 0.001) G_GAN: 1.061 G_L1: 25.923 D_real: 0.163 D_fake: 0.647 
(epoch: 3, iters: 1000, time: 0.043, data: 0.001) G_GAN: 1.163 G_L1: 21.415 D_real: 0.176 D_fake: 0.488 
(epoch: 3, iters: 1100, time: 0.041, data: 0.001) G_GAN: 0.888 G_L1: 20.266 D_real: 0.264 D_fake: 1.269 
(epoch: 3, iters: 1200, time: 0.079, data: 0.001) G_GAN: 0.344 G_L1: 27.327 D_real: 1.060 D_fake: 0.361 
(epoch: 3, iters: 1300, time: 0.041, data: 0.001) G_GAN: 1.700 G_L1: 47.933 D_real: 0.774 D_fake: 0.194 
(epoch: 3, iters: 1400, time: 0.048, data: 0.002) G_GAN: 0.882 G_L1: 17.035 D_real: 0.529 D_fake: 0.638 
(epoch: 3, iters: 1500, time: 0.041, data: 0.001) G_GAN: 0.917 G_L1: 41.592 D_real: 0.474 D_fake: 0.481 
(epoch: 3, iters: 1600, time: 0.043, data: 0.001) G_GAN: 1.229 G_L1: 24.250 D_real: 0.242 D_fake: 0.360 
(epoch: 3, iters: 1700, time: 0.043, data: 0.001) G_GAN: 1.500 G_L1: 28.464 D_real: 0.054 D_fake: 0.506 
(epoch: 3, iters: 1800, time: 0.045, data: 0.001) G_GAN: 0.989 G_L1: 23.025 D_real: 0.835 D_fake: 0.316 
(epoch: 3, iters: 1900, time: 0.044, data: 0.001) G_GAN: 1.530 G_L1: 38.925 D_real: 0.037 D_fake: 0.362 
(epoch: 3, iters: 2000, time: 0.043, data: 0.001) G_GAN: 1.333 G_L1: 25.725 D_real: 2.496 D_fake: 0.376 
(epoch: 3, iters: 2100, time: 0.042, data: 0.001) G_GAN: 1.321 G_L1: 25.949 D_real: 0.158 D_fake: 0.325 
(epoch: 3, iters: 2200, time: 0.040, data: 0.001) G_GAN: 1.083 G_L1: 22.108 D_real: 0.522 D_fake: 0.565 
(epoch: 3, iters: 2300, time: 0.042, data: 0.001) G_GAN: 1.183 G_L1: 23.971 D_real: 0.210 D_fake: 0.853 
(epoch: 3, iters: 2400, time: 0.040, data: 0.001) G_GAN: 1.493 G_L1: 23.341 D_real: 0.265 D_fake: 0.293 
End of epoch 3 / 200 	 Time Taken: 82 sec
learning rate 0.0002000 -> 0.0002000
(epoch: 4, iters: 100, time: 0.044, data: 0.148) G_GAN: 1.587 G_L1: 39.618 D_real: 0.414 D_fake: 0.234 
(epoch: 4, iters: 200, time: 0.044, data: 0.001) G_GAN: 0.624 G_L1: 28.732 D_real: 0.858 D_fake: 1.150 
(epoch: 4, iters: 300, time: 0.041, data: 0.002) G_GAN: 1.158 G_L1: 25.298 D_real: 0.223 D_fake: 0.436 
(epoch: 4, iters: 400, time: 0.085, data: 0.002) G_GAN: 1.137 G_L1: 30.515 D_real: 0.788 D_fake: 0.412 
(epoch: 4, iters: 500, time: 0.042, data: 0.001) G_GAN: 1.215 G_L1: 29.122 D_real: 0.343 D_fake: 0.754 
(epoch: 4, iters: 600, time: 0.042, data: 0.002) G_GAN: 1.947 G_L1: 34.151 D_real: 0.263 D_fake: 0.223 
(epoch: 4, iters: 700, time: 0.040, data: 0.001) G_GAN: 1.088 G_L1: 30.034 D_real: 0.514 D_fake: 1.117 
(epoch: 4, iters: 800, time: 0.080, data: 0.002) G_GAN: 1.835 G_L1: 27.750 D_real: 0.131 D_fake: 0.231 
(epoch: 4, iters: 900, time: 0.046, data: 0.001) G_GAN: 1.081 G_L1: 30.022 D_real: 0.612 D_fake: 0.493 
(epoch: 4, iters: 1000, time: 0.038, data: 0.001) G_GAN: 0.956 G_L1: 27.586 D_real: 0.257 D_fake: 0.712 
(epoch: 4, iters: 1100, time: 0.042, data: 0.001) G_GAN: 0.672 G_L1: 19.385 D_real: 1.593 D_fake: 0.621 
(epoch: 4, iters: 1200, time: 0.048, data: 0.001) G_GAN: 0.607 G_L1: 18.459 D_real: 0.998 D_fake: 0.922 
(epoch: 4, iters: 1300, time: 0.041, data: 0.002) G_GAN: 0.747 G_L1: 36.086 D_real: 1.725 D_fake: 0.433 
(epoch: 4, iters: 1400, time: 0.044, data: 0.001) G_GAN: 1.598 G_L1: 31.046 D_real: 0.092 D_fake: 0.360 
(epoch: 4, iters: 1500, time: 0.044, data: 0.001) G_GAN: 1.089 G_L1: 13.564 D_real: 0.824 D_fake: 0.469 
(epoch: 4, iters: 1600, time: 0.045, data: 0.001) G_GAN: 1.722 G_L1: 28.544 D_real: 0.073 D_fake: 0.266 
(epoch: 4, iters: 1700, time: 0.043, data: 0.001) G_GAN: 0.787 G_L1: 26.822 D_real: 1.036 D_fake: 0.245 
(epoch: 4, iters: 1800, time: 0.040, data: 0.001) G_GAN: 1.043 G_L1: 16.788 D_real: 0.356 D_fake: 0.584 
(epoch: 4, iters: 1900, time: 0.041, data: 0.002) G_GAN: 1.279 G_L1: 23.297 D_real: 0.832 D_fake: 0.249 
(epoch: 4, iters: 2000, time: 0.043, data: 0.001) G_GAN: 1.473 G_L1: 27.190 D_real: 0.017 D_fake: 0.608 
(epoch: 4, iters: 2100, time: 0.037, data: 0.001) G_GAN: 1.032 G_L1: 19.597 D_real: 0.221 D_fake: 0.608 
(epoch: 4, iters: 2200, time: 0.044, data: 0.001) G_GAN: 1.297 G_L1: 28.638 D_real: 0.195 D_fake: 0.423 
(epoch: 4, iters: 2300, time: 0.042, data: 0.001) G_GAN: 0.806 G_L1: 29.524 D_real: 0.580 D_fake: 0.545 
(epoch: 4, iters: 2400, time: 0.040, data: 0.001) G_GAN: 1.111 G_L1: 12.492 D_real: 0.907 D_fake: 0.268 
End of epoch 4 / 200 	 Time Taken: 82 sec
learning rate 0.0002000 -> 0.0002000
(epoch: 5, iters: 100, time: 0.045, data: 0.141) G_GAN: 0.998 G_L1: 30.711 D_real: 0.342 D_fake: 0.605 
(epoch: 5, iters: 200, time: 0.046, data: 0.001) G_GAN: 2.363 G_L1: 24.721 D_real: 0.103 D_fake: 0.132 
(epoch: 5, iters: 300, time: 0.043, data: 0.001) G_GAN: 1.645 G_L1: 39.173 D_real: 0.367 D_fake: 0.446 
(epoch: 5, iters: 400, time: 0.085, data: 0.001) G_GAN: 0.992 G_L1: 25.042 D_real: 0.155 D_fake: 0.540 
saving the latest model (epoch 5, total_iters 10000)
(epoch: 5, iters: 500, time: 0.043, data: 0.001) G_GAN: 1.003 G_L1: 48.463 D_real: 1.395 D_fake: 0.371 
(epoch: 5, iters: 600, time: 0.043, data: 0.001) G_GAN: 1.635 G_L1: 35.989 D_real: 1.390 D_fake: 0.214 
(epoch: 5, iters: 700, time: 0.044, data: 0.002) G_GAN: 1.165 G_L1: 28.683 D_real: 1.293 D_fake: 0.258 
(epoch: 5, iters: 800, time: 0.041, data: 0.001) G_GAN: 0.816 G_L1: 26.824 D_real: 1.025 D_fake: 0.285 
(epoch: 5, iters: 900, time: 0.045, data: 0.001) G_GAN: 0.926 G_L1: 25.501 D_real: 0.261 D_fake: 0.506 
(epoch: 5, iters: 1000, time: 0.043, data: 0.001) G_GAN: 0.779 G_L1: 39.244 D_real: 0.433 D_fake: 0.962 
(epoch: 5, iters: 1100, time: 0.043, data: 0.001) G_GAN: 0.939 G_L1: 23.674 D_real: 0.085 D_fake: 1.007 
(epoch: 5, iters: 1200, time: 0.042, data: 0.001) G_GAN: 1.765 G_L1: 27.154 D_real: 0.119 D_fake: 0.343 
(epoch: 5, iters: 1300, time: 0.043, data: 0.001) G_GAN: 1.200 G_L1: 30.208 D_real: 0.438 D_fake: 0.339 
(epoch: 5, iters: 1400, time: 0.044, data: 0.001) G_GAN: 1.867 G_L1: 25.080 D_real: 0.044 D_fake: 0.588 
(epoch: 5, iters: 1500, time: 0.037, data: 0.002) G_GAN: 1.316 G_L1: 22.825 D_real: 0.350 D_fake: 0.302 
(epoch: 5, iters: 1600, time: 0.044, data: 0.001) G_GAN: 1.231 G_L1: 20.257 D_real: 0.981 D_fake: 0.453 
(epoch: 5, iters: 1700, time: 0.045, data: 0.001) G_GAN: 1.612 G_L1: 30.027 D_real: 0.901 D_fake: 0.226 
(epoch: 5, iters: 1800, time: 0.047, data: 0.001) G_GAN: 0.749 G_L1: 19.662 D_real: 0.578 D_fake: 0.315 
(epoch: 5, iters: 1900, time: 0.045, data: 0.001) G_GAN: 0.961 G_L1: 16.388 D_real: 0.792 D_fake: 0.382 
(epoch: 5, iters: 2000, time: 0.043, data: 0.002) G_GAN: 1.282 G_L1: 30.911 D_real: 0.224 D_fake: 0.343 
(epoch: 5, iters: 2100, time: 0.046, data: 0.001) G_GAN: 2.171 G_L1: 24.057 D_real: 0.010 D_fake: 1.077 
(epoch: 5, iters: 2200, time: 0.043, data: 0.001) G_GAN: 1.850 G_L1: 38.769 D_real: 1.187 D_fake: 0.143 
(epoch: 5, iters: 2300, time: 0.042, data: 0.002) G_GAN: 1.178 G_L1: 26.244 D_real: 0.208 D_fake: 0.531 
(epoch: 5, iters: 2400, time: 0.082, data: 0.001) G_GAN: 0.835 G_L1: 20.503 D_real: 0.417 D_fake: 0.951 
saving the model at the end of epoch 5, iters 12000
End of epoch 5 / 200 	 Time Taken: 83 sec
learning rate 0.0002000 -> 0.0002000
(epoch: 6, iters: 100, time: 0.045, data: 0.149) G_GAN: 1.492 G_L1: 29.729 D_real: 0.003 D_fake: 0.417 
(epoch: 6, iters: 200, time: 0.044, data: 0.001) G_GAN: 1.491 G_L1: 22.893 D_real: 1.360 D_fake: 0.184 
(epoch: 6, iters: 300, time: 0.041, data: 0.001) G_GAN: 1.933 G_L1: 26.930 D_real: 1.093 D_fake: 0.124 
(epoch: 6, iters: 400, time: 0.096, data: 0.001) G_GAN: 1.115 G_L1: 16.874 D_real: 1.020 D_fake: 0.233 
(epoch: 6, iters: 500, time: 0.045, data: 0.001) G_GAN: 1.213 G_L1: 27.740 D_real: 0.157 D_fake: 0.601 
(epoch: 6, iters: 600, time: 0.039, data: 0.001) G_GAN: 1.335 G_L1: 32.259 D_real: 0.014 D_fake: 0.548 
(epoch: 6, iters: 700, time: 0.042, data: 0.001) G_GAN: 1.161 G_L1: 25.516 D_real: 0.002 D_fake: 2.091 
(epoch: 6, iters: 800, time: 0.040, data: 0.002) G_GAN: 1.039 G_L1: 15.362 D_real: 0.456 D_fake: 0.829 
(epoch: 6, iters: 900, time: 0.045, data: 0.001) G_GAN: 0.692 G_L1: 38.934 D_real: 0.838 D_fake: 0.960 
(epoch: 6, iters: 1000, time: 0.042, data: 0.001) G_GAN: 2.411 G_L1: 26.664 D_real: 0.047 D_fake: 0.142 
(epoch: 6, iters: 1100, time: 0.041, data: 0.001) G_GAN: 1.633 G_L1: 19.646 D_real: 1.111 D_fake: 0.112 
(epoch: 6, iters: 1200, time: 0.044, data: 0.001) G_GAN: 1.214 G_L1: 23.695 D_real: 1.120 D_fake: 0.288 
(epoch: 6, iters: 1300, time: 0.041, data: 0.001) G_GAN: 1.056 G_L1: 36.941 D_real: 0.578 D_fake: 0.307 
(epoch: 6, iters: 1400, time: 0.041, data: 0.001) G_GAN: 1.109 G_L1: 23.602 D_real: 0.084 D_fake: 0.676 
(epoch: 6, iters: 1500, time: 0.046, data: 0.001) G_GAN: 1.698 G_L1: 30.918 D_real: 0.952 D_fake: 0.227 
(epoch: 6, iters: 1600, time: 0.043, data: 0.001) G_GAN: 1.272 G_L1: 22.564 D_real: 0.304 D_fake: 0.388 
(epoch: 6, iters: 1700, time: 0.045, data: 0.001) G_GAN: 1.861 G_L1: 18.973 D_real: 0.133 D_fake: 0.938 
(epoch: 6, iters: 1800, time: 0.044, data: 0.001) G_GAN: 1.463 G_L1: 17.037 D_real: 1.284 D_fake: 0.252 
(epoch: 6, iters: 1900, time: 0.041, data: 0.001) G_GAN: 2.242 G_L1: 33.276 D_real: 0.077 D_fake: 0.292 
(epoch: 6, iters: 2000, time: 0.159, data: 0.001) G_GAN: 0.958 G_L1: 15.103 D_real: 1.151 D_fake: 0.453 
(epoch: 6, iters: 2100, time: 0.044, data: 0.001) G_GAN: 0.735 G_L1: 16.230 D_real: 0.227 D_fake: 1.263 
(epoch: 6, iters: 2200, time: 0.041, data: 0.001) G_GAN: 1.427 G_L1: 20.220 D_real: 0.276 D_fake: 1.046 
(epoch: 6, iters: 2300, time: 0.042, data: 0.001) G_GAN: 1.458 G_L1: 23.284 D_real: 0.104 D_fake: 0.991 
(epoch: 6, iters: 2400, time: 0.041, data: 0.001) G_GAN: 1.305 G_L1: 27.072 D_real: 0.664 D_fake: 0.412 
End of epoch 6 / 200 	 Time Taken: 82 sec
learning rate 0.0002000 -> 0.0002000
(epoch: 7, iters: 100, time: 0.046, data: 0.138) G_GAN: 1.242 G_L1: 24.579 D_real: 0.227 D_fake: 0.484 
(epoch: 7, iters: 200, time: 0.043, data: 0.001) G_GAN: 1.216 G_L1: 26.593 D_real: 0.201 D_fake: 0.428 
(epoch: 7, iters: 300, time: 0.045, data: 0.001) G_GAN: 1.260 G_L1: 22.539 D_real: 0.219 D_fake: 0.305 
(epoch: 7, iters: 400, time: 0.093, data: 0.001) G_GAN: 1.131 G_L1: 28.108 D_real: 0.835 D_fake: 0.528 
(epoch: 7, iters: 500, time: 0.042, data: 0.001) G_GAN: 1.973 G_L1: 28.499 D_real: 0.011 D_fake: 0.312 
(epoch: 7, iters: 600, time: 0.046, data: 0.001) G_GAN: 1.338 G_L1: 32.654 D_real: 0.050 D_fake: 0.417 
saving the latest model (epoch 7, total_iters 15000)
(epoch: 7, iters: 700, time: 0.044, data: 0.001) G_GAN: 1.353 G_L1: 26.476 D_real: 0.521 D_fake: 0.322 
(epoch: 7, iters: 800, time: 0.040, data: 0.001) G_GAN: 1.309 G_L1: 20.241 D_real: 0.294 D_fake: 0.546 
(epoch: 7, iters: 900, time: 0.042, data: 0.001) G_GAN: 1.508 G_L1: 17.522 D_real: 0.025 D_fake: 0.480 
(epoch: 7, iters: 1000, time: 0.045, data: 0.001) G_GAN: 1.390 G_L1: 18.464 D_real: 1.702 D_fake: 0.176 
(epoch: 7, iters: 1100, time: 0.043, data: 0.001) G_GAN: 1.333 G_L1: 21.563 D_real: 0.262 D_fake: 0.485 
(epoch: 7, iters: 1200, time: 0.043, data: 0.001) G_GAN: 1.827 G_L1: 32.927 D_real: 0.791 D_fake: 0.084 
(epoch: 7, iters: 1300, time: 0.042, data: 0.002) G_GAN: 1.245 G_L1: 37.743 D_real: 1.484 D_fake: 0.267 
(epoch: 7, iters: 1400, time: 0.046, data: 0.001) G_GAN: 1.320 G_L1: 23.522 D_real: 0.067 D_fake: 0.593 
(epoch: 7, iters: 1500, time: 0.042, data: 0.001) G_GAN: 1.129 G_L1: 35.531 D_real: 0.694 D_fake: 0.397 
(epoch: 7, iters: 1600, time: 0.091, data: 0.001) G_GAN: 1.564 G_L1: 26.385 D_real: 0.500 D_fake: 0.743 
(epoch: 7, iters: 1700, time: 0.043, data: 0.001) G_GAN: 0.931 G_L1: 25.410 D_real: 0.598 D_fake: 0.652 
(epoch: 7, iters: 1800, time: 0.043, data: 0.001) G_GAN: 1.224 G_L1: 18.666 D_real: 0.230 D_fake: 0.386 
(epoch: 7, iters: 1900, time: 0.042, data: 0.001) G_GAN: 1.504 G_L1: 15.920 D_real: 0.269 D_fake: 0.305 
(epoch: 7, iters: 2000, time: 0.042, data: 0.001) G_GAN: 1.123 G_L1: 21.390 D_real: 0.509 D_fake: 0.517 
(epoch: 7, iters: 2100, time: 0.045, data: 0.001) G_GAN: 1.375 G_L1: 33.852 D_real: 0.291 D_fake: 0.414 
(epoch: 7, iters: 2200, time: 0.049, data: 0.001) G_GAN: 1.898 G_L1: 43.215 D_real: 0.000 D_fake: 0.241 
(epoch: 7, iters: 2300, time: 0.043, data: 0.002) G_GAN: 1.730 G_L1: 22.073 D_real: 0.670 D_fake: 0.192 
(epoch: 7, iters: 2400, time: 0.041, data: 0.001) G_GAN: 1.222 G_L1: 29.574 D_real: 0.241 D_fake: 0.600 
End of epoch 7 / 200 	 Time Taken: 82 sec
learning rate 0.0002000 -> 0.0002000
(epoch: 8, iters: 100, time: 0.042, data: 0.150) G_GAN: 1.519 G_L1: 25.882 D_real: 0.044 D_fake: 0.312 
(epoch: 8, iters: 200, time: 0.046, data: 0.002) G_GAN: 1.597 G_L1: 24.112 D_real: 0.456 D_fake: 0.287 
(epoch: 8, iters: 300, time: 0.046, data: 0.002) G_GAN: 1.679 G_L1: 32.503 D_real: 0.277 D_fake: 0.395 
(epoch: 8, iters: 400, time: 0.094, data: 0.002) G_GAN: 1.439 G_L1: 25.343 D_real: 0.155 D_fake: 0.372 
(epoch: 8, iters: 500, time: 0.043, data: 0.001) G_GAN: 1.654 G_L1: 38.629 D_real: 0.519 D_fake: 0.157 
(epoch: 8, iters: 600, time: 0.042, data: 0.001) G_GAN: 1.211 G_L1: 20.018 D_real: 0.033 D_fake: 1.266 
(epoch: 8, iters: 700, time: 0.043, data: 0.001) G_GAN: 1.585 G_L1: 27.427 D_real: 1.835 D_fake: 0.263 
