/home/aditya_sharma/.local/lib/python3.9/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
(epoch: 1, iters: 800, time: 0.039, data: 0.001) G_GAN: 2.972 G_L1: 28.907 D_real: 0.082 D_fake: 0.069 
(epoch: 1, iters: 900, time: 0.040, data: 0.001) G_GAN: 0.587 G_L1: 22.551 D_real: 1.072 D_fake: 0.382 
(epoch: 1, iters: 1000, time: 0.039, data: 0.001) G_GAN: 0.872 G_L1: 38.649 D_real: 0.885 D_fake: 0.156 
(epoch: 1, iters: 1100, time: 0.041, data: 0.001) G_GAN: 1.380 G_L1: 23.140 D_real: 0.095 D_fake: 1.075 
(epoch: 1, iters: 1200, time: 0.041, data: 0.001) G_GAN: 1.915 G_L1: 32.977 D_real: 0.522 D_fake: 0.089 
(epoch: 1, iters: 1300, time: 0.040, data: 0.001) G_GAN: 1.119 G_L1: 22.867 D_real: 0.925 D_fake: 0.140 
(epoch: 1, iters: 1400, time: 0.042, data: 0.001) G_GAN: 2.112 G_L1: 26.194 D_real: 0.159 D_fake: 0.115 
(epoch: 1, iters: 1500, time: 0.041, data: 0.001) G_GAN: 1.973 G_L1: 41.380 D_real: 0.222 D_fake: 0.346 
(epoch: 1, iters: 1600, time: 0.040, data: 0.001) G_GAN: 2.890 G_L1: 30.320 D_real: 0.047 D_fake: 0.121 
(epoch: 1, iters: 1700, time: 0.040, data: 0.001) G_GAN: 1.650 G_L1: 33.605 D_real: 0.270 D_fake: 0.348 
(epoch: 1, iters: 1800, time: 0.040, data: 0.001) G_GAN: 1.716 G_L1: 46.277 D_real: 0.016 D_fake: 1.915 
(epoch: 1, iters: 1900, time: 0.041, data: 0.001) G_GAN: 2.068 G_L1: 31.006 D_real: 0.210 D_fake: 0.178 
(epoch: 1, iters: 2000, time: 0.085, data: 0.001) G_GAN: 0.918 G_L1: 23.683 D_real: 0.791 D_fake: 1.875 
(epoch: 1, iters: 2100, time: 0.040, data: 0.001) G_GAN: 0.623 G_L1: 20.738 D_real: 0.358 D_fake: 0.360 
(epoch: 1, iters: 2200, time: 0.041, data: 0.001) G_GAN: 1.845 G_L1: 24.047 D_real: 3.100 D_fake: 0.094 
(epoch: 1, iters: 2300, time: 0.041, data: 0.001) G_GAN: 1.732 G_L1: 28.009 D_real: 0.227 D_fake: 0.234 
(epoch: 1, iters: 2400, time: 0.040, data: 0.001) G_GAN: 0.975 G_L1: 16.698 D_real: 0.596 D_fake: 0.298 
End of epoch 1 / 200 	 Time Taken: 74 sec
learning rate 0.0002000 -> 0.0002000
(epoch: 2, iters: 100, time: 0.041, data: 0.120) G_GAN: 2.071 G_L1: 39.691 D_real: 0.004 D_fake: 0.970 
(epoch: 2, iters: 200, time: 0.041, data: 0.001) G_GAN: 1.858 G_L1: 41.783 D_real: 0.102 D_fake: 0.204 
(epoch: 2, iters: 300, time: 0.039, data: 0.001) G_GAN: 0.764 G_L1: 27.099 D_real: 2.090 D_fake: 0.578 
(epoch: 2, iters: 400, time: 0.085, data: 0.001) G_GAN: 1.926 G_L1: 23.866 D_real: 2.683 D_fake: 0.033 
(epoch: 2, iters: 500, time: 0.040, data: 0.001) G_GAN: 1.615 G_L1: 29.028 D_real: 0.038 D_fake: 0.363 
(epoch: 2, iters: 600, time: 0.040, data: 0.001) G_GAN: 1.314 G_L1: 22.876 D_real: 1.219 D_fake: 0.071 
(epoch: 2, iters: 700, time: 0.041, data: 0.001) G_GAN: 1.858 G_L1: 38.492 D_real: 0.552 D_fake: 0.085 
(epoch: 2, iters: 800, time: 0.040, data: 0.001) G_GAN: 1.519 G_L1: 31.068 D_real: 0.002 D_fake: 1.025 
(epoch: 2, iters: 900, time: 0.043, data: 0.001) G_GAN: 1.989 G_L1: 30.903 D_real: 0.093 D_fake: 0.184 
(epoch: 2, iters: 1000, time: 0.038, data: 0.001) G_GAN: 1.719 G_L1: 31.661 D_real: 0.001 D_fake: 0.826 
(epoch: 2, iters: 1100, time: 0.041, data: 0.001) G_GAN: 1.335 G_L1: 18.664 D_real: 0.434 D_fake: 0.492 
(epoch: 2, iters: 1200, time: 0.042, data: 0.001) G_GAN: 0.763 G_L1: 29.711 D_real: 0.710 D_fake: 0.902 
(epoch: 2, iters: 1300, time: 0.040, data: 0.001) G_GAN: 1.841 G_L1: 51.743 D_real: 0.004 D_fake: 0.185 
(epoch: 2, iters: 1400, time: 0.041, data: 0.001) G_GAN: 1.975 G_L1: 27.043 D_real: 0.321 D_fake: 0.134 
(epoch: 2, iters: 1500, time: 0.039, data: 0.001) G_GAN: 1.070 G_L1: 25.360 D_real: 0.634 D_fake: 0.318 
(epoch: 2, iters: 1600, time: 0.087, data: 0.001) G_GAN: 1.818 G_L1: 35.705 D_real: 0.383 D_fake: 0.135 
(epoch: 2, iters: 1700, time: 0.040, data: 0.001) G_GAN: 0.942 G_L1: 26.289 D_real: 1.015 D_fake: 0.136 
(epoch: 2, iters: 1800, time: 0.040, data: 0.001) G_GAN: 1.210 G_L1: 31.551 D_real: 0.004 D_fake: 0.499 
(epoch: 2, iters: 1900, time: 0.040, data: 0.001) G_GAN: 0.986 G_L1: 26.298 D_real: 1.704 D_fake: 0.378 
(epoch: 2, iters: 2000, time: 0.042, data: 0.001) G_GAN: 1.892 G_L1: 50.058 D_real: 0.007 D_fake: 0.290 
(epoch: 2, iters: 2100, time: 0.040, data: 0.002) G_GAN: 1.863 G_L1: 27.674 D_real: 0.217 D_fake: 0.150 
(epoch: 2, iters: 2200, time: 0.041, data: 0.001) G_GAN: 3.208 G_L1: 31.059 D_real: 0.001 D_fake: 0.049 
(epoch: 2, iters: 2300, time: 0.043, data: 0.001) G_GAN: 1.923 G_L1: 31.212 D_real: 0.016 D_fake: 0.489 
(epoch: 2, iters: 2400, time: 0.041, data: 0.001) G_GAN: 2.440 G_L1: 27.682 D_real: 0.160 D_fake: 0.136 
End of epoch 2 / 200 	 Time Taken: 73 sec
learning rate 0.0002000 -> 0.0002000
(epoch: 3, iters: 100, time: 0.041, data: 0.117) G_GAN: 1.424 G_L1: 24.828 D_real: 0.024 D_fake: 1.062 
(epoch: 3, iters: 200, time: 0.037, data: 0.001) G_GAN: 1.965 G_L1: 30.383 D_real: 1.025 D_fake: 0.137 
saving the latest model (epoch 3, total_iters 5000)
(epoch: 3, iters: 300, time: 0.040, data: 0.001) G_GAN: 1.905 G_L1: 44.033 D_real: 0.611 D_fake: 0.096 
(epoch: 3, iters: 400, time: 0.087, data: 0.001) G_GAN: 2.386 G_L1: 40.370 D_real: 0.020 D_fake: 0.162 
(epoch: 3, iters: 500, time: 0.042, data: 0.001) G_GAN: 2.384 G_L1: 30.463 D_real: 0.192 D_fake: 0.104 
(epoch: 3, iters: 600, time: 0.042, data: 0.001) G_GAN: 2.185 G_L1: 26.308 D_real: 0.025 D_fake: 0.129 
(epoch: 3, iters: 700, time: 0.039, data: 0.001) G_GAN: 2.640 G_L1: 32.296 D_real: 0.227 D_fake: 0.104 
(epoch: 3, iters: 800, time: 0.040, data: 0.001) G_GAN: 0.875 G_L1: 15.279 D_real: 1.580 D_fake: 0.143 
(epoch: 3, iters: 900, time: 0.038, data: 0.001) G_GAN: 1.476 G_L1: 25.824 D_real: 0.571 D_fake: 0.222 
(epoch: 3, iters: 1000, time: 0.040, data: 0.001) G_GAN: 2.199 G_L1: 33.795 D_real: 0.001 D_fake: 0.160 
(epoch: 3, iters: 1100, time: 0.046, data: 0.001) G_GAN: 1.764 G_L1: 43.338 D_real: 0.000 D_fake: 0.200 
(epoch: 3, iters: 1200, time: 0.089, data: 0.001) G_GAN: 2.532 G_L1: 54.016 D_real: 0.112 D_fake: 0.100 
(epoch: 3, iters: 1300, time: 0.044, data: 0.001) G_GAN: 1.598 G_L1: 38.824 D_real: 0.034 D_fake: 0.207 
(epoch: 3, iters: 1400, time: 0.041, data: 0.001) G_GAN: 2.166 G_L1: 25.830 D_real: 0.001 D_fake: 0.624 
(epoch: 3, iters: 1500, time: 0.041, data: 0.001) G_GAN: 1.660 G_L1: 22.124 D_real: 0.267 D_fake: 0.480 
(epoch: 3, iters: 1600, time: 0.041, data: 0.001) G_GAN: 0.980 G_L1: 19.189 D_real: 0.391 D_fake: 0.505 
(epoch: 3, iters: 1700, time: 0.038, data: 0.001) G_GAN: 0.812 G_L1: 31.318 D_real: 0.809 D_fake: 0.273 
(epoch: 3, iters: 1800, time: 0.039, data: 0.001) G_GAN: 2.646 G_L1: 34.218 D_real: 0.000 D_fake: 0.125 
(epoch: 3, iters: 1900, time: 0.040, data: 0.001) G_GAN: 2.417 G_L1: 35.924 D_real: 0.001 D_fake: 0.217 
(epoch: 3, iters: 2000, time: 0.036, data: 0.001) G_GAN: 2.186 G_L1: 34.888 D_real: 0.010 D_fake: 0.092 
(epoch: 3, iters: 2100, time: 0.041, data: 0.001) G_GAN: 3.054 G_L1: 20.223 D_real: 0.014 D_fake: 0.086 
(epoch: 3, iters: 2200, time: 0.041, data: 0.001) G_GAN: 1.905 G_L1: 21.079 D_real: 2.193 D_fake: 0.030 
(epoch: 3, iters: 2300, time: 0.041, data: 0.001) G_GAN: 1.428 G_L1: 19.443 D_real: 0.003 D_fake: 0.679 
(epoch: 3, iters: 2400, time: 0.041, data: 0.001) G_GAN: 2.114 G_L1: 36.158 D_real: 0.003 D_fake: 0.139 
End of epoch 3 / 200 	 Time Taken: 74 sec
learning rate 0.0002000 -> 0.0002000
(epoch: 4, iters: 100, time: 0.041, data: 0.137) G_GAN: 2.017 G_L1: 27.934 D_real: 0.020 D_fake: 0.181 
(epoch: 4, iters: 200, time: 0.040, data: 0.001) G_GAN: 2.684 G_L1: 26.802 D_real: 0.033 D_fake: 0.089 
(epoch: 4, iters: 300, time: 0.041, data: 0.001) G_GAN: 1.740 G_L1: 22.585 D_real: 0.016 D_fake: 0.438 
(epoch: 4, iters: 400, time: 0.093, data: 0.001) G_GAN: 2.310 G_L1: 19.125 D_real: 0.140 D_fake: 0.120 
(epoch: 4, iters: 500, time: 0.040, data: 0.001) G_GAN: 2.118 G_L1: 23.834 D_real: 0.008 D_fake: 0.124 
(epoch: 4, iters: 600, time: 0.041, data: 0.001) G_GAN: 1.902 G_L1: 22.420 D_real: 0.001 D_fake: 0.326 
(epoch: 4, iters: 700, time: 0.039, data: 0.001) G_GAN: 2.432 G_L1: 27.589 D_real: 0.144 D_fake: 0.110 
(epoch: 4, iters: 800, time: 0.088, data: 0.001) G_GAN: 2.397 G_L1: 31.297 D_real: 0.337 D_fake: 0.150 
(epoch: 4, iters: 900, time: 0.040, data: 0.001) G_GAN: 1.436 G_L1: 21.262 D_real: 0.845 D_fake: 0.076 
(epoch: 4, iters: 1000, time: 0.039, data: 0.001) G_GAN: 1.156 G_L1: 32.407 D_real: 1.615 D_fake: 0.199 
(epoch: 4, iters: 1100, time: 0.041, data: 0.001) G_GAN: 2.461 G_L1: 22.943 D_real: 0.046 D_fake: 0.425 
(epoch: 4, iters: 1200, time: 0.044, data: 0.001) G_GAN: 2.393 G_L1: 34.496 D_real: 0.081 D_fake: 0.162 
(epoch: 4, iters: 1300, time: 0.040, data: 0.001) G_GAN: 1.614 G_L1: 35.890 D_real: 0.001 D_fake: 0.393 
(epoch: 4, iters: 1400, time: 0.041, data: 0.001) G_GAN: 1.274 G_L1: 22.519 D_real: 1.121 D_fake: 0.271 
(epoch: 4, iters: 1500, time: 0.040, data: 0.001) G_GAN: 2.041 G_L1: 28.191 D_real: 0.026 D_fake: 0.461 
(epoch: 4, iters: 1600, time: 0.040, data: 0.002) G_GAN: 3.372 G_L1: 29.339 D_real: 0.016 D_fake: 0.065 
(epoch: 4, iters: 1700, time: 0.041, data: 0.001) G_GAN: 0.773 G_L1: 26.398 D_real: 1.598 D_fake: 0.210 
(epoch: 4, iters: 1800, time: 0.037, data: 0.001) G_GAN: 2.781 G_L1: 44.831 D_real: 0.112 D_fake: 0.093 
(epoch: 4, iters: 1900, time: 0.040, data: 0.001) G_GAN: 2.873 G_L1: 22.552 D_real: 0.001 D_fake: 0.100 
(epoch: 4, iters: 2000, time: 0.041, data: 0.001) G_GAN: 1.590 G_L1: 21.434 D_real: 0.016 D_fake: 0.540 
(epoch: 4, iters: 2100, time: 0.040, data: 0.001) G_GAN: 1.805 G_L1: 26.350 D_real: 0.229 D_fake: 0.250 
(epoch: 4, iters: 2200, time: 0.041, data: 0.001) G_GAN: 1.795 G_L1: 33.968 D_real: 0.002 D_fake: 0.187 
(epoch: 4, iters: 2300, time: 0.042, data: 0.002) G_GAN: 1.501 G_L1: 33.169 D_real: 1.101 D_fake: 0.106 
(epoch: 4, iters: 2400, time: 0.041, data: 0.001) G_GAN: 2.164 G_L1: 20.925 D_real: 0.029 D_fake: 0.242 
End of epoch 4 / 200 	 Time Taken: 73 sec
learning rate 0.0002000 -> 0.0002000
(epoch: 5, iters: 100, time: 0.038, data: 0.131) G_GAN: 3.447 G_L1: 17.795 D_real: 0.020 D_fake: 0.062 
(epoch: 5, iters: 200, time: 0.038, data: 0.001) G_GAN: 1.854 G_L1: 38.383 D_real: 0.035 D_fake: 0.297 
(epoch: 5, iters: 300, time: 0.043, data: 0.001) G_GAN: 2.166 G_L1: 36.201 D_real: 0.000 D_fake: 0.559 
(epoch: 5, iters: 400, time: 0.093, data: 0.001) G_GAN: 2.164 G_L1: 25.228 D_real: 0.947 D_fake: 0.074 
saving the latest model (epoch 5, total_iters 10000)
(epoch: 5, iters: 500, time: 0.040, data: 0.002) G_GAN: 3.916 G_L1: 29.718 D_real: 0.159 D_fake: 0.024 
(epoch: 5, iters: 600, time: 0.043, data: 0.001) G_GAN: 2.082 G_L1: 27.547 D_real: 0.508 D_fake: 0.102 
(epoch: 5, iters: 700, time: 0.041, data: 0.001) G_GAN: 2.353 G_L1: 22.134 D_real: 0.109 D_fake: 0.176 
(epoch: 5, iters: 800, time: 0.041, data: 0.001) G_GAN: 0.948 G_L1: 20.604 D_real: 0.723 D_fake: 0.596 
(epoch: 5, iters: 900, time: 0.046, data: 0.001) G_GAN: 2.091 G_L1: 20.123 D_real: 0.067 D_fake: 0.230 
(epoch: 5, iters: 1000, time: 0.042, data: 0.001) G_GAN: 3.542 G_L1: 42.941 D_real: 0.003 D_fake: 0.042 
(epoch: 5, iters: 1100, time: 0.043, data: 0.001) G_GAN: 2.287 G_L1: 26.711 D_real: 0.017 D_fake: 0.268 
(epoch: 5, iters: 1200, time: 0.038, data: 0.001) G_GAN: 1.728 G_L1: 26.295 D_real: 0.229 D_fake: 0.403 
(epoch: 5, iters: 1300, time: 0.041, data: 0.001) G_GAN: 2.240 G_L1: 23.981 D_real: 0.252 D_fake: 0.133 
(epoch: 5, iters: 1400, time: 0.042, data: 0.001) G_GAN: 2.412 G_L1: 22.072 D_real: 1.940 D_fake: 0.027 
(epoch: 5, iters: 1500, time: 0.041, data: 0.001) G_GAN: 1.616 G_L1: 21.909 D_real: 1.759 D_fake: 0.067 
(epoch: 5, iters: 1600, time: 0.041, data: 0.001) G_GAN: 2.333 G_L1: 33.404 D_real: 0.011 D_fake: 0.224 
(epoch: 5, iters: 1700, time: 0.040, data: 0.001) G_GAN: 1.054 G_L1: 23.190 D_real: 1.040 D_fake: 0.239 
(epoch: 5, iters: 1800, time: 0.041, data: 0.001) G_GAN: 2.320 G_L1: 27.653 D_real: 0.002 D_fake: 0.149 
(epoch: 5, iters: 1900, time: 0.041, data: 0.001) G_GAN: 2.710 G_L1: 27.959 D_real: 0.117 D_fake: 0.123 
(epoch: 5, iters: 2000, time: 0.041, data: 0.001) G_GAN: 3.012 G_L1: 27.684 D_real: 0.207 D_fake: 0.053 
(epoch: 5, iters: 2100, time: 0.042, data: 0.001) G_GAN: 2.948 G_L1: 20.205 D_real: 0.952 D_fake: 0.069 
(epoch: 5, iters: 2200, time: 0.043, data: 0.001) G_GAN: 1.910 G_L1: 21.023 D_real: 0.050 D_fake: 0.236 
(epoch: 5, iters: 2300, time: 0.046, data: 0.001) G_GAN: 1.697 G_L1: 20.895 D_real: 0.094 D_fake: 0.260 
(epoch: 5, iters: 2400, time: 0.092, data: 0.001) G_GAN: 1.245 G_L1: 31.106 D_real: 0.231 D_fake: 1.447 
saving the model at the end of epoch 5, iters 12000
End of epoch 5 / 200 	 Time Taken: 74 sec
learning rate 0.0002000 -> 0.0002000
(epoch: 6, iters: 100, time: 0.042, data: 0.121) G_GAN: 1.746 G_L1: 17.218 D_real: 0.647 D_fake: 0.144 
(epoch: 6, iters: 200, time: 0.040, data: 0.001) G_GAN: 3.266 G_L1: 25.114 D_real: 0.003 D_fake: 0.071 
(epoch: 6, iters: 300, time: 0.041, data: 0.001) G_GAN: 1.890 G_L1: 20.966 D_real: 0.113 D_fake: 0.138 
(epoch: 6, iters: 400, time: 0.097, data: 0.001) G_GAN: 2.131 G_L1: 21.784 D_real: 0.798 D_fake: 0.113 
(epoch: 6, iters: 500, time: 0.040, data: 0.001) G_GAN: 3.089 G_L1: 33.812 D_real: 0.026 D_fake: 0.072 
(epoch: 6, iters: 600, time: 0.041, data: 0.001) G_GAN: 2.498 G_L1: 22.888 D_real: 0.005 D_fake: 0.078 
(epoch: 6, iters: 700, time: 0.039, data: 0.001) G_GAN: 2.259 G_L1: 39.102 D_real: 0.000 D_fake: 0.245 
(epoch: 6, iters: 800, time: 0.041, data: 0.001) G_GAN: 2.433 G_L1: 36.191 D_real: 0.002 D_fake: 0.124 
(epoch: 6, iters: 900, time: 0.042, data: 0.001) G_GAN: 2.635 G_L1: 24.844 D_real: 0.100 D_fake: 0.167 
(epoch: 6, iters: 1000, time: 0.041, data: 0.001) G_GAN: 1.359 G_L1: 24.792 D_real: 1.177 D_fake: 0.204 
(epoch: 6, iters: 1100, time: 0.043, data: 0.001) G_GAN: 2.620 G_L1: 27.050 D_real: 0.009 D_fake: 0.326 
(epoch: 6, iters: 1200, time: 0.042, data: 0.001) G_GAN: 2.291 G_L1: 30.405 D_real: 0.000 D_fake: 0.134 
(epoch: 6, iters: 1300, time: 0.041, data: 0.001) G_GAN: 2.209 G_L1: 24.071 D_real: 0.011 D_fake: 0.231 
(epoch: 6, iters: 1400, time: 0.040, data: 0.001) G_GAN: 1.155 G_L1: 22.799 D_real: 0.580 D_fake: 0.811 
(epoch: 6, iters: 1500, time: 0.038, data: 0.001) G_GAN: 1.593 G_L1: 31.477 D_real: 0.001 D_fake: 0.369 
(epoch: 6, iters: 1600, time: 0.041, data: 0.001) G_GAN: 1.800 G_L1: 32.095 D_real: 1.361 D_fake: 0.047 
(epoch: 6, iters: 1700, time: 0.041, data: 0.001) G_GAN: 1.653 G_L1: 34.554 D_real: 0.000 D_fake: 0.720 
(epoch: 6, iters: 1800, time: 0.041, data: 0.001) G_GAN: 2.559 G_L1: 26.234 D_real: 0.003 D_fake: 0.447 
(epoch: 6, iters: 1900, time: 0.041, data: 0.001) G_GAN: 1.497 G_L1: 34.480 D_real: 0.000 D_fake: 0.629 
(epoch: 6, iters: 2000, time: 0.097, data: 0.001) G_GAN: 2.747 G_L1: 35.989 D_real: 0.492 D_fake: 0.117 
(epoch: 6, iters: 2100, time: 0.040, data: 0.002) G_GAN: 2.278 G_L1: 25.845 D_real: 0.532 D_fake: 0.085 
(epoch: 6, iters: 2200, time: 0.041, data: 0.001) G_GAN: 1.555 G_L1: 47.580 D_real: 0.050 D_fake: 0.288 
(epoch: 6, iters: 2300, time: 0.042, data: 0.001) G_GAN: 2.013 G_L1: 29.638 D_real: 0.044 D_fake: 0.237 
(epoch: 6, iters: 2400, time: 0.040, data: 0.001) G_GAN: 3.189 G_L1: 32.005 D_real: 0.041 D_fake: 0.084 
End of epoch 6 / 200 	 Time Taken: 73 sec
learning rate 0.0002000 -> 0.0002000
(epoch: 7, iters: 100, time: 0.042, data: 0.129) G_GAN: 1.129 G_L1: 24.109 D_real: 1.293 D_fake: 0.314 
(epoch: 7, iters: 200, time: 0.041, data: 0.001) G_GAN: 2.415 G_L1: 24.933 D_real: 0.001 D_fake: 0.141 
(epoch: 7, iters: 300, time: 0.041, data: 0.001) G_GAN: 2.304 G_L1: 28.243 D_real: 0.020 D_fake: 0.193 
(epoch: 7, iters: 400, time: 0.103, data: 0.001) G_GAN: 0.672 G_L1: 20.913 D_real: 1.005 D_fake: 0.367 
(epoch: 7, iters: 500, time: 0.040, data: 0.001) G_GAN: 1.282 G_L1: 28.091 D_real: 0.864 D_fake: 0.144 
(epoch: 7, iters: 600, time: 0.041, data: 0.001) G_GAN: 1.924 G_L1: 26.574 D_real: 0.066 D_fake: 0.603 
saving the latest model (epoch 7, total_iters 15000)
(epoch: 7, iters: 700, time: 0.041, data: 0.002) G_GAN: 2.634 G_L1: 26.051 D_real: 0.542 D_fake: 0.060 
(epoch: 7, iters: 800, time: 0.041, data: 0.001) G_GAN: 2.364 G_L1: 25.378 D_real: 0.031 D_fake: 0.442 
(epoch: 7, iters: 900, time: 0.041, data: 0.001) G_GAN: 1.030 G_L1: 34.992 D_real: 0.806 D_fake: 0.713 
(epoch: 7, iters: 1000, time: 0.040, data: 0.001) G_GAN: 1.863 G_L1: 27.778 D_real: 0.156 D_fake: 0.409 
(epoch: 7, iters: 1100, time: 0.040, data: 0.001) G_GAN: 2.199 G_L1: 21.146 D_real: 0.138 D_fake: 0.231 
(epoch: 7, iters: 1200, time: 0.039, data: 0.001) G_GAN: 1.947 G_L1: 23.532 D_real: 0.092 D_fake: 0.256 
(epoch: 7, iters: 1300, time: 0.039, data: 0.001) G_GAN: 3.432 G_L1: 29.287 D_real: 0.006 D_fake: 0.057 
(epoch: 7, iters: 1400, time: 0.041, data: 0.001) G_GAN: 1.264 G_L1: 28.662 D_real: 0.944 D_fake: 0.190 
(epoch: 7, iters: 1500, time: 0.039, data: 0.001) G_GAN: 3.616 G_L1: 21.982 D_real: 0.114 D_fake: 0.015 
(epoch: 7, iters: 1600, time: 0.097, data: 0.001) G_GAN: 3.081 G_L1: 31.342 D_real: 0.007 D_fake: 0.201 
(epoch: 7, iters: 1700, time: 0.040, data: 0.001) G_GAN: 2.271 G_L1: 28.444 D_real: 0.065 D_fake: 0.154 
(epoch: 7, iters: 1800, time: 0.040, data: 0.001) G_GAN: 1.915 G_L1: 16.223 D_real: 0.034 D_fake: 0.360 
(epoch: 7, iters: 1900, time: 0.041, data: 0.001) G_GAN: 1.844 G_L1: 22.744 D_real: 0.019 D_fake: 0.260 
(epoch: 7, iters: 2000, time: 0.041, data: 0.001) G_GAN: 1.928 G_L1: 29.570 D_real: 0.411 D_fake: 0.149 
(epoch: 7, iters: 2100, time: 0.041, data: 0.001) G_GAN: 2.074 G_L1: 31.280 D_real: 0.020 D_fake: 0.212 
(epoch: 7, iters: 2200, time: 0.041, data: 0.001) G_GAN: 2.762 G_L1: 19.151 D_real: 0.131 D_fake: 0.078 
(epoch: 7, iters: 2300, time: 0.041, data: 0.001) G_GAN: 1.662 G_L1: 20.174 D_real: 0.367 D_fake: 1.641 
(epoch: 7, iters: 2400, time: 0.039, data: 0.001) G_GAN: 0.918 G_L1: 20.891 D_real: 1.118 D_fake: 0.518 
End of epoch 7 / 200 	 Time Taken: 74 sec
learning rate 0.0002000 -> 0.0002000
(epoch: 8, iters: 100, time: 0.040, data: 0.134) G_GAN: 2.268 G_L1: 35.159 D_real: 0.003 D_fake: 0.189 
(epoch: 8, iters: 200, time: 0.041, data: 0.001) G_GAN: 1.858 G_L1: 28.622 D_real: 0.472 D_fake: 0.734 
(epoch: 8, iters: 300, time: 0.040, data: 0.001) G_GAN: 2.777 G_L1: 47.801 D_real: 0.528 D_fake: 0.032 
(epoch: 8, iters: 400, time: 0.102, data: 0.001) G_GAN: 3.309 G_L1: 38.854 D_real: 0.001 D_fake: 0.047 
(epoch: 8, iters: 500, time: 0.042, data: 0.001) G_GAN: 2.053 G_L1: 24.259 D_real: 0.082 D_fake: 0.265 
(epoch: 8, iters: 600, time: 0.041, data: 0.001) G_GAN: 2.142 G_L1: 21.897 D_real: 0.742 D_fake: 0.071 
(epoch: 8, iters: 700, time: 0.041, data: 0.001) G_GAN: 2.530 G_L1: 29.671 D_real: 0.000 D_fake: 0.176 
